"filename","font_name","details"
"DynaPuff[wdth,wght].ttf","DynaPuff Regular","This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL | https://scripts.sil.org/OFL | Toshi Omagari, Jennifer Daniel"
"ForestSmooth-Regular.ttf","ForestSmooth Regular","Tikhon Reztcov"
"GAU_pop_magic.TTF","GauFontPopMagic",""
"Giga.otf","Giga","Hvnter"
"GreatPaschal-MApwr.otf","Great Paschal","This font was created using FontCreator 15 from High-Logic.com | Muhamad Yusron Billah"
"GreatPaschalItalic-KV02p.otf","Great Paschal Italic","This font was created using FontCreator 15 from High-Logic.com | Muhamad Yusron Billah"
"Gridular-Regular.otf","Gridular Regular","www.cotypefoundry.com/eula | Mark Bloom"
"GuardiaGX.ttf","Guardia","Mateo Broillet"
"Halcyn-Rounded-Obliqe.otf","Halcyn Rounded Obliqe",""
"Halcyn-Rounded.otf","Halcyn Rounded",""
"Huab-Regular.ttf","huab","This font was created using FontCreator 14.0 from High-Logic.com | This font is made with the home edition of FontCreator. You may not use this font for commercial purposes. | https://www.high-logic.com/font-license-agreement"
"Hybrid_b.ttf","Hybrid Bold",""
"JKAbode-Demo.ttf","JK Abode Demo","By downloading this typeface you agree to the conditions laid out below (a copy of which can also be found at http://www.jacobking.org/EULAs.html ). This typeface can only be used in personal projects ( i.e. work done purely for enjoyment) and not for profit work (i.e. pro bono design work). This typeface can not be used in works in which the designer, author or user has received a commission for their services, or works in which the designer, author or user intends to generate any amount of income (i.e self promotion, identity work etc.) unless it is being used in strictly not for profit projects. By downloading you agree to the condition that the downloaded typeface cannot in anyway be redistributed, sold, or modified. If you wish to do so you must first receive express permission from the author (Jacob King). By downloading this you agree to the terms that you will not hold the author (Jacob King) responsible for any adverse or negative effects of installing and/or using this software. You are personally held responsible and accountable for any use to which you put the typeface. Jacob King holds the original copyright of the typeface. | Jacob King"
"JKAbode-LightDemo.ttf","JK Abode Light Demo","By downloading this typeface you agree to the conditions laid out below (a copy of which can also be found at http://www.jacobking.org/EULAs.html ). This typeface can only be used in personal projects ( i.e. work done purely for enjoyment) and not for profit work (i.e. pro bono design work). This typeface can not be used in works in which the designer, author or user has received a commission for their services, or works in which the designer, author or user intends to generate any amount of income (i.e self promotion, identity work etc.) unless it is being used in strictly not for profit projects. By downloading you agree to the condition that the downloaded typeface cannot in anyway be redistributed, sold, or modified. If you wish to do so you must first receive express permission from the author (Jacob King). By downloading this you agree to the terms that you will not hold the author (Jacob King) responsible for any adverse or negative effects of installing and/or using this software. You are personally held responsible and accountable for any use to which you put the typeface. Jacob King holds the original copyright of the typeface. | www.jacobking.org/EULAs.html | Jacob King"
"Kelsi-fill.otf","Kelsi 1 fill","-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | Mikhail Vlasov"
"Kimura.otf","Kimura Display",""
"Kosmos.otf","Kosmos","Alexey Atapin"
"LEDLIGHT.otf","LEDLIGHT","Copyright (c) 2008 by Billy Argel. All rights reserved. | Billy Argel"
"LightingLettering_PERSONAL_USE_ONLY.otf","Lighting Lettering PERSONAL Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"Lustra_Variable.ttf","Lustra Regular",""
"Magenta.ttf","Magenta","www.bambootypes.com | Florian Bambhout"
"Meta--Regular.otf","Meta-","Joël Maillot"
"MirageVirtual-Regular-BF68dfcc73e0988.otf","Mirage Virtual","This font was created using FontCreator 13.0 from High-Logic.com | ©TimelessType.co. All Rights Reserved | https://TimelessType.co/ | Heru Utama Putra"
"Monday.ttf","Monday Pro","fgstudios.net | fgstudios"
"N-Gage.ttf","N-Gage",""
"Neuropol.otf","Neuropol-Regular","This font has been released under a no rights reserved Creative Commons Zero license.  Please do not ask permission to do anything with these fonts. Whatever you want to do with this font, the answer will be yes. Please read about the CC0 Public Domain license before contacting me. https://creativecommons.org/publicdomain/zero/1.0/ To the extent possible under law, Raymond Larabie has waived all copyright and related or neighboring rights to this font. This work is published from Japan. | https://creativecommons.org/publicdomain/zero/1.0/ | Ray Larabie"
"Nitrous Oxide.otf","Nitrous Oxide","Copyright (c) 2023 by Gassstype© Studio. All rights reserved | Anang F & Malik Wsn | Gassstype© Studio 2023"
"Noxlock-Free.otf","Noxlock","Saidi Alfianor"
"Octavus-Black-FFP.ttf","Octavus Black","Personal use only (FFP)! Leer / Read:
https://defharo.com/product-usage-agreement-ffp/

Commercial license. READ:  https://defharo.com/terms-and-conditions-commercial-fonts/

Please visit www.defharo.com to buy a commercial license. | https://defharo.com/fonts/octavus/ | Fernando Haro"
"Octuple-max-demo.ttf","Octuple max Solid","Octuple max is a typographic experiment where all the proportions and measures of the characters and metrics are multiples of the number eight. The result is a very steep typography of square proportion with a great contrast between the horizontal / vertical horns and rounded in all corners. | Personal use only (FFP)! Leer / Read:
https://defharo.com/product-usage-agreement-ffp/

Commercial license. READ:  https://defharo.com/terms-and-conditions-commercial-fonts/

Please visit www.defharo.com to buy a commercial license. | https://defharo.com/fonts/octuple-max/ | Fernando Haro"
"OlehoSenthorTrialRegular-m2a6j.ttf","Oleho Senthor Trial Regular","https://www.twinletter.com/license/ | Danial"
"PLANK___.TTF","Planet Kosmos",""
"Pikabu.ttf","Pikabu","Pekotype"
"Pixar one bold.otf","Pixar One Bold","Copyright (c) 2012 by Vasiliy Shishkin. All rights reserved. | Vasiliy Shishkin"
"Pixar one display.otf","Pixar One Display","Copyright (c) 2012 by Vasiliy Shishkin. All rights reserved. | Vasiliy Shishkin"
"Poppy_Regular.otf","Poppy_03 Regular","SIL Open Font Licence | Peter Wiegel"
"Pulsewidth-1.0.0.otf","Pulsewidth","Copyright (c) 2022, Ensix (ensix.xyz),
with Reserved Font Name Pulsewidth.

This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is copied below, and is also available with a FAQ at:
http://scripts.sil.org/OFL


-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | http://scripts.sil.org/OFL"
"Pulsewidth-Dot-1.0.0.otf","Pulsewidth Dot","Copyright (c) 2022, Ensix (ensix.xyz),
with Reserved Font Name Pulsewidth.

This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is copied below, and is also available with a FAQ at:
http://scripts.sil.org/OFL


-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | http://scripts.sil.org/OFL"
"Racesky dafont.otf","Racesky","This font was created using FontCreator 13.0 from High-Logic.com | free for persnal use | Ahmad Zulfikar Ali"
"Roadam.otf","Roadam",""
"Robotica.ttf","Robotica","Copyright (c) 2011 by Courtney Novits. All rights reserved. | Courtney Novits"
"SUPERBOLT.ttf","SUPERBOLT","This font was created using FontCreator 12.0 | maskodook@gmail.com | https://stringlabscreative.com | Virgiawan Listanto. 2021"
"SamireDEMO-Regular.otf","Samire DEMO Regular","for PERSONAL USE ONLY | M Khfidz"
"Secret Agent Personal Use.ttf","Secret Agent Personal Use","Copyright (c) 2017 by Billy Argel. All rights reserved. | Personal Use Only! Commercial licenses and complete set available @ www.billyargel.com More infos contact: billyargel@gmail.com | www.billyargel.com | Billy Argel"
"Siegra.otf","Siegra Regular","Ahmad Ramzi Fahruddin"
"Siegra.ttf","Siegra Regular","Ahmad Ramzi Fahruddin"
"Slivky AllCaps.otf","Slivky AllCaps","Slava Antipov"
"Straider.ttf","Straider","Hajid Hikmatiyar"
"Synkopy-Regular.otf","Synkopy","Free for unlimited use in personal and commercial projects. The only limitations of this license includes redistribution in any way, theft & reproduction. For more information please send me an email:  jv@jayvillart.com | Jorge Villarreal"
"Varino - Normal.otf","Varino Normal-Regular","Copyright (c) 2020 by Arterfak Project. All rights reserved. | Ahmad Ramzi Fahruddin"
"Veter.ttf","Veter",""
"View-Black-Slant-ExtExp-FTP.ttf","View Slant Black","View is designed to stand out, make an impact, and dominate any visual space with elegance.
Its exaggeratedly wide proportions and black weight don't ask for permission: each letter is a statement of presence, an explosion of character that doesn't go unnoticed. It's made for those who appreciate the impact of super-thick and extra-wide typefaces.

Its shapes are pure power, with a perfect balance between the strength of the Roman style and the dynamism of the Slanted. Ideal for headlines that want to be heard, for brands that want to stand out, or for designs that demand character.

Designed in two versions —Roman and Slant— View is a font that combines the strength of a powerful stroke with the elegance of refined details. | Personal use only (FFP)! Leer / Read:
https://defharo.com/product-usage-agreement-ffp/

Commercial license. READ:  https://defharo.com/terms-and-conditions-commercial-fonts/

Please visit www.defharo.com to buy a commercial license. | https://defharo.com/fonts/view/ | Fernando Haro"
"Warpen.otf","Warpen","Christmas Kalingga Abed Nego"
"Y2K Brutalism Typeface.otf","Y2K Brutalism Font",""
"YAGIZA__.TTF","yagiza",""
"airstrike.ttf","Airstrike","Daniel Zadorozny"
"bjork.ttf","Bjork",""
"cursyger.ttf","Cursyger Regular","“Cursyger” was built with FontStruct | Open Font License | Piotrkowy"
"excelorate-font.otf","Excelorate","behance.net/jvill | Free for unlimited use in personal and commercial projects. The only limitations of this license includes redistribution in any way, theft & reproduction. For more information please send me an email: jv@jayvillart.com | Jorge Vilarreal"
"fifawelcome1.3.ttf","FIFA Welcome","This font was created using FontCreator 5.6 from High-Logic.com"
"kabisat-demo-italictall.ttf","Kabisat Demo Italic Tall","This font is created by using FontLab | Mohamad Farhan Ramadhan"
"mister firley.ttf","MisterFirley-Regular","To see more fonts by Ray Larabie, visit Typodermic.com and LarabieFonts.com | Ray Larabie"
"moonhouse.ttf","moonhouse","Copyright (c) 2013 by NimaVisual. All rights reserved. | By downloading and/or installing a NimaVisual Free Font
you agree to this license.

This font is freeware. You can use it freely for all your personal and commercial work.

The font files may not be modified without written permission from Andres Moreno W. / NimaVisual.

This font may not be sold.

This font may not be redistributed, shared, repackaged or included in any online or offline archive, font collection, 
web site or CD-ROM without written permission from Andres Moreno W. / NimaVisual.

Embedding this font in a PDF document is allowed.

Embedding this font in a web page with a @font-face declaration is allowed once you credit SMeltery with a link 
somewhere on your site.

Except for your right to use this font, all other rights are owned and retained by Andres Moreno W. / NimaVisual.

Andres Moreno W. / NimaVisual is not liable for any damage resulting from the use of this font.

Thank you! | NimaVisual"
"rangerforcecondital.ttf","Ranger Force Condensed Italic","Daniel Zadorozny"
"rangerforceexpandital.ttf","Ranger Force Expanded Italic","Daniel Zadorozny"
"rocketpop.otf","Rocket Pop","Daniel Zadorozny"
"team.otf","Team","Copyright (c) 2008 by Vasiliy Shishkin. All rights reserved. | Vasiliy shishkin"
