"filename","font_name","details"
"BillionDreams_PERSONAL.ttf","Billion Dreams","Copyright (c) 2020 by Subectype Studio. All rights reserved. | Please visit www.mansgreback.com to obtain a commercial licnese. | http://www.mansgreback.com | Rangga Singgih Subekti"
"Birds of Paradise + PERSONAL USE ONLY.ttf","Birds of Paradise - Personal use Only","Birds of Paradise is a font by Herofonts , designed by Guilhem GRECO in 2014.This is the demo version of Birds of Paradise © full version and commercial license available on www.herofonts.com. | http://www.herofonts.com/license | Guilhem GRECO"
"Blacksword.otf","Blacksword","Copyright (c) 2016 by Youssef Habchi. All rights reserved. | Free for personal use only. | Youssef Habchi"
"Breath of the River.ttf","Breath of the River","Copyright (c) 2025 by BlackFridayFont. All rights reserved. | Fonts for Everyone — Just €2 Whether you’re designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster — once you've paid €2, you're free to use the font however you like.

Paypal : blackfridayfonts@gmail.com

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print — just creative freedom, plain and simple.

Because good design belongs to everyone! | Blackfridayfont.com | BlackFridayFont"
"Breathing Personal Use Only.ttf","Breathing Personal Use Only Reg","By installing or using this font, you agree to the Product Usage Agreement: This font is for personal use only. Commercial use is not allowed. For more information, please visit our website. Be kind and read the document first before installing the font. | https://din-studio.com/product/breathing-brush-font/ | Donis Miftahudin"
"Breathney Demo.ttf","Breathney Demo","This font was created using FontCreator 11.5 from High-Logic.com | https://mjbletters.com/license/ | (MJB Letters). 2023. (Muhammad Mujibulloh)"
"Callheart.otf","Callheart","Copyright (c) 2023 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"CampanaScript_PERSONAL_USE_ONLY.otf","Campana Script PERSONAL USE Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"Celestial Silence.ttf","Celestial Silence","Copyright (c) 2026 by BlackFridayFont. All rights reserved. | Welcome!
Fonts for Everyone, Just €2 Whether you're designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster

once you've paid €2, you're free to use for one project the font.

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print just creative freedom.

Because good design belongs to everyone! | BlackFridayFont"
"Chandia_PERSONAL_USE_ONLY.otf","Chandia PERSONAL USE ONLY Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"Charlotte.otf","Charlotte","Agam Rahmadan"
"Cherish-Regular.ttf","Cherish Regular","This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL | https://scripts.sil.org/OFL | Robert E. Leuschke"
"Creamer.otf","Creamer","Copyright (c) 2021 by . All rights reserved. | Dafont Demo Version  http://creativework69.com email : creativework69@yahoo.com | Daddi Daryawan - creativework69.com"
"Daughter of Fortune.ttf","Daughter of Fortune","Copyright (c) 2022 by Octotype. All rights reserved. | Free for personal use | Octotype"
"Dear Script (Demo_Font).otf","Dear Script","Created using FontCreator 11 from High-Logic.com | Riyadh Rahman"
"Flashback Records.ttf","Flashback Records","Copyright (c) 2025 by BlackFridayFont. All rights reserved. | Welcome!
Fonts for Everyone, Just €2 Whether you're designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster

once you've paid €2, you're free to use for one project the font.

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print just creative freedom.

Because good design belongs to everyone!

New fonts added every Friday | BlackFridayFont"
"FortalesiaScript_PERSONAL_USE_ONLY.otf","Fortalesia Script PERSONAL USE Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"Glamour.ttf","Glamour","Copyright (c) 2021 by Bung Letter. All rights reserved. | mr.nazar"
"Hendangan.ttf","Hendangan",""
"High Spirited.ttf","High Spirited","Copyright (c) 2022 by Octotype. All rights reserved. | Free for personal use | Octotype"
"Hijrnotes_PERSONAL_USE_ONLY.ttf","Hijrnotes PERSONAL USE ONLY","Copyright (c) 2016 by Hendra Pratama (mikrojihad). All rights reserved. | Please visit www.aringtypeface.com/hijrnotes to get a commercial license. | http://www.aringtypeface.com | Hendra Pratama"
"HolidayFree.otf","HolidayFree",""
"Infinite_Stroke.otf","Infinite Stroke","Copyright (c) 2016 by Youssef Habchi. All rights reserved. | Free for personal use only | Youssef Habchi"
"Infinite_Stroke_Bolder_Cond.otf","Infinite Stroke Condensed Bolder","Copyright (c) 2016 by Youssef Habchi. All rights reserved. | Free for personal use only | Youssef Habchi"
"LEPKA.otf","Lepka Regular","Anna Trushina"
"LuxuriousScript-Regular.otf","Luxurious Script Regular","This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL | https://scripts.sil.org/OFL | Robert E. Leuschke"
"LuxuriousScript-Regular.ttf","Luxurious Script Regular","This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL | https://scripts.sil.org/OFL | Robert E. Leuschke"
"Madame Confidentielle.ttf","Madame Confidentielle","Copyright (c) 2025 by BlackFridayFont. All rights reserved. | Welcome!
Fonts for Everyone, Just €2 Whether you're designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster

once you've paid €2, you're free to use for one project the font.

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print just creative freedom.

Because good design belongs to everyone!

New fonts added every Friday | BlackFridayFont"
"Madinah Authentic.otf","Madinah Authentic","Created using FontCreator 11 from High-Logic.com | Riyadh Rahman"
"MailmanRegular.otf","Mailman Regular","Copyright (c) 2023 by Afkari Studio. All rights reserved. | https://afkaristudio.com/license/ | https://afkaristudio.com/license/ | Afkari Studio"
"Manchester Signature ttf.ttf","Manchester Signature","This font was created using FontCreator 11.5 from High-Logic.com | typeline studio 2018"
"Midnight Angel.ttf","Midnight Angel","Copyright (c) 2025 by BlackFridayFont. All rights reserved. | BlackFridayFont.com

Fonts for Everyone — Whether you’re designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster — once you've paid 2Eur, you're free to use the font however you like.

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print — just creative freedom, plain and simple.

Because good design belongs to everyone! | BlackFridayFont"
"Million Smiles.otf","Million Smiles","You can not resell, share or giveaway the font files | Installable item | Rangga Singgih Subekti"
"Milton_One.otf","Milton One","Copyright (c) 2015 by Youssef Habchi. All rights reserved. | Free for personal use only. | Youssef Habchi"
"Milton_Two.otf","Milton Two","Copyright (c) 2015 by Youssef Habchi. All rights reserved. | Free for personal use only. | Youssef Habchi"
"Montana.ttf","Montana","Copyright (c) 2016 by Alexcouture. All rights reserved. | Alex Couture"
"Motterdam.otf","Motterdam","Copyright (c) 2019 by Hendra Pratama. All rights reserved. | Hendra Pratama"
"Nickainley-Normal.otf","Nickainley Normal","Copyright (c) 2015 by Seniors Studio. All rights reserved. | Seniors Studio"
"Ocean Delight.ttf","Ocean Delight Regular","www.blankidsfonts.com | www.blankidsfonts.com | Bangkit Tri Setiadi"
"Pacifico.ttf","Pacifico Regular","Copyright (c) 2011 by vernon adams. All rights reserved. | SIL Open Font License, Version 1.1
This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is available with a FAQ at: http://scripts.sil.org/OFL | http://scripts.sil.org/OFL | Vernon Adams"
"PaintBrushScript-Regular.otf","Paint Brush Script Regular","Sigit Dwipa Raharjo"
"Photograph Signature.ttf","Photograph Signature","This font was created using FontCreator 11.5 from High-Logic.com | typeline studio 2018"
"Pixelbasel.ttf","Pixelbasel",""
"Quentin.otf","Quentin","Copyright (c) 2016 by Hermansyah. All rights reserved. | Hermansyah Get Studio"
"Reflet des Ondes.ttf","Reflet des Ondes Regular","Copyright (c) 2025 by BlackFridayFont. All rights reserved. | BlackFridayFont.com

Fonts for Everyone Ñ Whether youÕre designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster Ñ once you've paid Û2, you're free to use the font however you like.

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print Ñ just creative freedom, plain and simple.

Because good design belongs to everyone! | BlackFridayFont"
"RetroSignature.otf","Retro Signature","www.nirmanavisual.com | Sigit Dwipa Raharjo"
"Roustel.ttf","Roustel Regular","Ali Hamidi"
"Sangharia Demo.ttf","Sangharia","Copyright (c) 2019 by Bhadalstudio. All rights reserved. | Nasruddin"
"Sansilk.ttf","Sansilk","Copyright (c) 2023 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"Signatie.otf","Signatie","Created using FontCreator 12 from High-Logic.com | BrandSemut"
"Signatra.otf","Signatra DEMO","Copyright (c) 2017 by Twicolabs Fontdation. All rights reserved. | Twicolabs Fontdation"
"Signatra.ttf","Signatra DEMO","Copyright (c) 2017 by Twicolabs Fontdation. All rights reserved. | Twicolabs Fontdation"
"SimpleThread_PERSONAL_USE_ONLY.otf","Simple Thread PERSONAL USE Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"Sunday Midnight Personal Use.otf","Sunday Midnight","You can not resell, share or giveaway the font files | Installable item | Rangga Singgih Subekti"
"Switzerland.ttf","Switzerland","This font was created using FontCreator 11.5 from High-Logic.com | typeline2018"
"Tempting - PERSONAL USE ONLY.otf","Tempting","MOH. MA'IN"
"Tempting - PERSONAL USE ONLY.ttf","Tempting","MOH. MA'IN"
"Une Chanson Romantique.ttf","Une Chanson Romantique","Copyright (c) 2026 by BlackFridayFont. All rights reserved. | Welcome!
Fonts for Everyone, Just €2 Whether you're designing packaging, rocking a t-shirt line, building an app, or crafting a killer poster

once you've paid €2, you're free to use for one project the font.

We believe typography should be accessible to all, no matter the project type. No restrictions, no fine print just creative freedom.

Because good design belongs to everyone! | BlackFridayFont"
"Weddingday Personal Use.ttf","Weddingday Personal Use Regular","PERSONAL USE ONLY! Commercial licenses and complete set available @ --- https://billyargel.com/   More infos contact @ --- https://billyargel.com/contact-us/ ---  https://billyargel.com/ | PERSONAL USE ONLY! Commercial licenses and complete set available @ --- https://billyargel.com/   More infos contact @ --- https://billyargel.com/contact-us/ ---  https://billyargel.com/ | https://billyargel.com/ | Billy Argel Fonts"
"Wild Youth.otf","Wild Youth","Copyright (c) 2020 by . All rights reserved. | Fatmawati"
"Youthead.otf","Youthead Script","Make it Simple but have an Significant Impacts | This Fonts is PERSONAL USE ONLY!, NO COMMERCIAL USE ALLOWED.
Purchase FULL VERSION and COMMERCIAL LICENSE here https://onedsgn.com/product/youthead-script/ | https://onedsgn.com/licenses | Eep Apringga"
"modernline.otf","modernline - Personal Use","This font was created using FontCreator 11.5 from High-Logic.com | Hi, please contact me before any commercial use. | https://creativemarket.com/Ef_Studio | Ef Studio - Luthfi Ef"
